shopify_handle,shopify_title,shopify_status,published,variant_sku,option_1,option_2,option_3,shopify_retail_gbp,inventory_tracker,inventory_quantity,inventory_policy,shopify_barcode,historical_map_link,feed_link,feed_size,feed_barcode,feed_wholesale_gbp_unconfirmed_vat_basis,feed_tax_flag,pack_size_text_match,supplier_multipack,barcode_comparison,warning_no_promo_inclusive,warning_first_order_inclusive,warning_repeat_order_inclusive,warning_no_promo_vat_extra,warning_first_order_vat_extra,warning_repeat_order_vat_extra
sis-go-hydro,SiS Go Hydro,active,true,TLL-sis-go-hydro,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
strom-essentialmax-eaa,Strom Sports Nutrition EssentialMax,active,true,STM008,450g Strawberry Kiwi,,,34.95,,0,deny,,YES,YES,450g,5060549918520,19.28,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
strom-hydramax,Strom Hydramax,active,true,TLL-strom-hydramax,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
strom-sports-nutrition-supportmax,Strom Sports Nutrition SupportMAX,active,true,STM044,160 Caps,,,34.95,,0,deny,,YES,YES,160 Caps,5060549919404,29.16,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
strom-sports-nutrition-zmax,Strom Sports Nutrition ZMAX,active,true,STM077,90 Caps,,,24.00,,0,deny,,YES,YES,90 Caps,5013007077628,15.13,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
strom-stimumax-pro,Strom Sports Nutrition StimuMAX PRO,active,true,STM043,360g Unicorn Pi55,,,29.95,,0,deny,,YES,YES,360g,5060549918919,20.84,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
the-formula-neuphoric,The Formula NEUPHORIC,active,true,FOR001,480g Arctic Frost,,,35.95,,0,deny,,YES,YES,480g,619091273363,19.95,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
the-protein-works-whey-80,The Protein Works Whey 80,active,true,TLL-TPW-WHEY80,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
trainedbyjp-jp-eaa,TrainedByJP JP EAA,active,true,TBJ019,300g Fizzy Blue Bottle,,,29.99,,0,deny,,YES,YES,300g,769577678998,10.63,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,NO_WARNING_BEFORE_OMITTED_COSTS
trainedbyjp-jp-hydration,TrainedByJP JP Hydration,active,true,TBJ133,300g Apple Melon,,,29.99,,0,deny,,YES,YES,300g,643985588196,11.88,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN
trainedbyjp-prepare,TrainedByJP Prepare,active,true,TLL-trainedbyjp-prepare,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
trek-protein-flapjack,Trek Protein Flapjack (Cocoa Oat),draft,false,TRE003,16x50g Cocoa & Oat,,,1.20,,0,deny,,YES,YES,16x50g,05060088702314,13.33,VAT,YES,YES,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
usn-muscle-fuel-anabolic,USN Muscle Fuel Anabolic,active,true,USN080,2kg Chocolate,,,42.00,,0,deny,,YES,YES,2kg,6009544953319,22.30,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
warrior-creatine-monohydrate,Warrior Creatine Monohydrate,active,true,WAR090,300g Unflavoured,,,11.99,,0,deny,,YES,YES,300g,5060424707577,8.21,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
warrior-crunch-bar,Warrior Crunch Bar (White Chocolate Crisp),active,true,WAR039,12x64g White Chocolate,,,23.99,,0,deny,,YES,YES,12x64g,5060424705450,15.49,VAT,YES,YES,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
warrior-eaa-powder,Warrior EAA Powder,active,true,WAR014,360g Sour Apple,,,11.99,,0,deny,,YES,YES,360g,5060424708444,10.56,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
